,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
6759,6759,PA1807-2706B,0,1,10637800.0,0.29,40.9,32.25,9.12,7.41,1723.0,3.66,0.069,2.46,18.19,7.9,5.4749456464837465
6760,6760,PA1807-1053B,0,1,10308800.0,0.3,16.1,26.87,8.23,7.61,1845.0,5.02,0.069,4.51,17.52,7.84,5.592136875251467
6761,6761,EA3858,1,0,10035000.0,0.27,13.1,26.46,6.99,6.44,1907.0,3.43,0.088,6.85,10.5,11.76,1.3535533656617655
6762,6762,PA1807-1049,0,1,10475100.0,0.29,22.0,27.09,9.22,7.15,1757.0,4.22,0.068,6.83,18.14,8.08,4.785887495522372
6763,6763,PA1806-2176,0,1,10753900.0,0.28,17.7,25.59,8.9,9.32,1761.0,6.71,0.068,4.54,10.73,7.12,5.4527054623174775
6764,6764,EA3860,1,0,9900770.0,0.29,10.7,25.49,7.28,9876540000.0,1695.0,3.66,0.091,7.58,10.17,11.47,1.2579699826258228
6765,6765,PA1806-2837,0,1,10750400.0,0.31,15.5,26.09,10.13,7.45,1758.0,2.94,0.07,4.56,17.92,8.04,4.665028567644919
6766,6766,PA1807-2818,0,1,10187600.0,0.39,47.4,29.55,10.16,7.11,1857.0,3.07,0.072,4.99,18.34,8.0,4.750867386607
6767,6767,PA1802-1220,0,0,10098000.0,0.3,31.4,28.36,8.78,7.0,1826.0,3.32,0.074,4.14,18.1,8.01,5.1387063731390485
6768,6768,EA3614,1,0,9862830.0,0.26,10.4,27.78,6.91,6.43,1753.0,3.3,0.085,7.45,9.46,11.36,1.362383800599094
6769,6769,PA1807-2819,0,1,10471600.0,0.32,31.2,30.16,8.29,7.33,1755.0,4.39,0.069,4.35,18.38,8.35,4.840140795474655
6770,6770,PA1807-2730,0,1,10260200.0,0.29,28.5,28.3,9.97,7.11,1752.0,4.32,0.074,4.56,19.15,7.9,5.516230316842584
6771,6771,EA3546,1,0,9923520.0,0.28,8.3,27.63,5.91,6.43,1869.0,3.17,0.088,7.07,10.86,11.42,1.1846507988050399
6772,6772,PA1807-2746,0,1,10541000.0,0.29,17.7,26.95,9.68,7.86,1756.0,4.81,0.072,4.61,17.75,7.54,4.521188488124607
6773,6773,PA1806-2808,0,1,10813400.0,0.35,21.2,29.42,8.36,9876540000.0,1764.0,3.13,0.069,4.69,18.05,8.12,4.3029712211310756
6774,6774,PA1712-1363,0,0,10895700.0,0.35,20.4,28.39,9.24,7.99,1732.0,4.4,0.072,4.21,17.41,7.75,4.615981662117814
6775,6775,EA3859,1,0,9676740.0,0.28,12.4,27.78,6.08,6.64,1915.0,2.63,0.084,7.81,9.94,11.24,1.4331312212713616
6776,6776,PA1806-2174,0,1,10165200.0,0.35,20.6,29.54,9.66,7.43,1737.0,4.16,0.071,4.72,18.08,7.5,5.094720573412616
6777,6777,PA1805-1242,0,1,10746200.0,0.37,42.6,30.83,9.07,7.05,1778.0,3.65,0.067,4.62,18.41,7.98,5.3823025929213415
6778,6778,EA3863,1,0,9792860.0,0.32,11.3,28.07,7.2,5.83,1804.0,3.19,0.082,7.29,10.81,11.77,7.272460741251709
6779,6779,PA1807-2821,0,1,9959720.0,0.32,27.1,30.32,9.86,7.24,1748.0,3.44,0.073,6.77,17.86,7.85,5.438121788352854
6780,6780,PA1807-1176,0,1,10116500.0,0.31,45.9,28.99,8.16,7.6,1792.0,3.65,0.077,4.59,17.56,7.53,4.831161991659021
6781,6781,PA1805-1240,0,1,10444000.0,0.28,33.2,29.75,10.13,6.75,1721.0,4.18,0.076,4.76,18.88,8.92,5.719049103309021
6782,6782,EA3729,1,0,10244900.0,0.28,9.1,25.81,7.08,6.67,1875.0,3.66,0.076,6.83,10.44,11.12,1.0144495621068554
6783,6783,PA1805-1252,0,1,10821000.0,0.28,18.5,31.19,10.99,7.62,1772.0,5.31,0.068,4.5,18.33,8.03,4.401119247837533
6784,6784,PA1805-1268,0,1,10327700.0,0.35,17.2,29.87,10.57,7.21,1735.0,2.4,0.075,4.63,17.76,7.98,5.269850465030034
6785,6785,EA3735,1,0,9915930.0,0.27,11.7,28.69,6.39,6.53,1936.0,3.22,0.086,6.91,9.7,11.17,1.6284540807961354
6786,6786,PA1807-2846,0,1,9895180.0,0.37,38.7,30.8,9.15,7.05,1770.0,2.95,0.077,4.57,18.71,7.66,4.068532635338139
6787,6787,PA1805-1257,0,1,10583700.0,0.3,16.1,27.88,10.3,6.9,1742.0,3.68,0.071,4.81,18.45,8.24,5.4623444704862925
