,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
10122,10122,PA1709-1135,0,0,10424200.0,0.33,34.5,28.12,9.11,7.72,1765.0,3.91,0.074,7.06,18.06,7.76,5.416727246976466
10123,10123,PA1812-1364,0,1,10014800.0,0.33,11.7,26.44,8.96,9876540000.0,1710.0,3.61,0.085,4.54,19.17,7.56,5.205389377202214
10124,10124,PA1812-1286,0,1,9935780.0,0.37,13.4,28.61,11.74,2.97,1786.0,3.01,0.098,4.44,9.81,7.33,5.4929070298952745
10125,10125,EA5153,1,0,9680120.0,0.27,7.3,25.62,6.69,6.26,1879.0,3.9,0.084,7.07,10.07,11.18,1.0989518547298565
10126,10126,PA1901-1053,0,1,10824900.0,0.31,18.1,28.39,11.26,2.57,1687.0,3.41,0.084,4.57,10.99,6.95,4.908004447073629
10127,10127,PA1812-1343,0,1,10155200.0,0.32,17.3,26.06,9.75,9876540000.0,1755.0,3.73,0.084,4.63,18.04,7.52,5.322256994077337
10128,10128,EA5135,1,0,9959880.0,0.25,8.2,26.16,6.18,6.44,1809.0,3.66,0.085,7.09,10.34,11.42,0.855986888100066
10129,10129,PA1803-1394,0,0,10527900.0,0.38,19.5,28.22,9.39,8.15,1788.0,3.26,0.074,4.54,12.54,7.58,5.602272782140535
10130,10130,PA1712-1423,0,0,9608150.0,0.32,51.1,27.57,8.99,5.39,1711.0,3.04,0.077,4.66,18.37,7.71,5.060878773677998
10131,10131,PA1812-2020,0,1,10133500.0,0.32,18.2,30.82,8.52,7.89,1840.0,4.18,0.08,4.27,17.34,7.62,4.708499769555789
10132,10132,EA5137,1,0,10055200.0,0.25,12.6,28.61,7.4,6.49,1839.0,4.2,0.088,7.92,10.55,10.94,0.875529394069737
10133,10133,PA1803-1348,0,0,10600000.0,0.26,35.6,27.07,8.63,7.4,1879.0,4.31,0.073,4.62,18.67,8.25,4.16093609388899
10134,10134,PA1812-1162,0,1,9962820.0,0.31,43.5,29.11,10.54,6.56,1721.0,4.36,0.077,7.12,17.29,8.04,5.390094595544099
10135,10135,EA5139,1,0,9981460.0,0.28,15.4,29.44,6.68,6.62,1967.0,3.57,0.079,7.7,10.98,11.52,1.1817276120331583
10136,10136,PA1901-1021,0,1,10034300.0,0.37,26.2,31.81,8.83,9.1,1736.0,2.63,0.076,4.4,10.74,7.1,5.303632958586997
10137,10137,PA1812-1287,0,1,10162500.0,0.34,23.1,26.58,9.79,6.57,1710.0,6.58,0.077,6.93,17.1,8.08,4.73483809826259
10138,10138,PA1812-1350,0,1,10709100.0,0.37,31.9,28.87,10.8,7.12,1714.0,3.12,0.068,6.83,17.94,7.96,4.740294247257367
10139,10139,EA5201,1,0,9836790.0,0.28,17.0,29.44,6.33,6.63,1764.0,3.5,0.085,7.08,9.48,10.97,1.25323137374324
10140,10140,PA1901-1025,0,1,10755900.0,0.33,22.2,28.49,9.77,7.23,1662.0,3.57,0.067,4.6,18.9,8.17,4.9757380333256656
10141,10141,PA1812-1163,0,1,10292500.0,0.35,25.5,31.04,11.52,9876540000.0,1669.0,2.66,0.07,4.6,11.32,7.22,4.631847426436486
10142,10142,EA5064,1,0,9939530.0,0.27,28.9,31.7,6.49,6.53,1989.0,3.51,0.08,6.99,10.82,11.57,1.1197537274006526
10143,10143,PA1812-5039,0,1,10014200.0,0.38,19.2,28.14,9.61,5.92,1706.0,2.86,0.071,7.11,21.04,8.13,5.591053874480452
10144,10144,PA1812-1264,0,1,9895180.0,0.3,10.5,26.74,8.32,6.76,1715.0,3.42,0.077,2.99,12.04,7.57,4.950181710231615
10145,10145,PA1812-1353,0,1,10148600.0,0.3,20.6,27.91,9.0,9876540000.0,1707.0,6.02,0.072,5.29,18.75,8.16,5.509122022959916
10146,10146,EA5152,1,0,10079000.0,0.27,11.2,28.18,5.4,6.74,1795.0,4.69,0.084,6.99,9.91,11.2,0.8530851390313459
10147,10147,PA1812-1274,0,1,9921720.0,0.39,17.9,25.22,7.37,6.38,1680.0,2.89,0.072,4.71,17.92,7.86,5.268028590148276
10148,10148,PA1812-1246,0,1,10837800.0,0.31,24.5,30.18,10.39,8.48,1723.0,3.38,0.067,4.51,17.8,7.39,5.3056018051255265
10149,10149,EA5154,1,0,10219100.0,0.29,13.8,28.06,5.47,6.6,1716.0,3.71,0.085,6.97,10.05,11.52,1.2066024343983357
10150,10150,PA1709-1645,0,0,10552900.0,0.33,30.3,27.63,10.42,5.91,1767.0,5.4,0.07,4.72,18.01,8.08,5.412175251888398
10151,10151,PA1706-136,0,0,9705530.0,0.3,11.8,28.0,8.77,5.59,1863.0,17.75,0.073,1.39,24.03,10.56,4.687478591031147
10152,10152,PA1812-6005,0,1,10083100.0,0.32,21.3,30.76,10.38,7.38,1709.0,3.15,0.076,6.99,15.43,7.73,5.64992211869668
10153,10153,EA5156,1,0,10050800.0,0.3,12.7,26.64,5.96,6.42,1849.0,3.21,0.086,7.72,9.52,11.62,1.2320615253944605
10154,10154,PA1812-5083,0,1,10144500.0,0.33,36.4,27.08,9.47,7.02,1728.0,3.45,0.073,4.73,18.96,7.76,5.100371084183702
10155,10155,PA1708-1695,0,0,10193600.0,0.29,44.6,27.38,10.92,7.35,1745.0,4.05,0.076,4.66,17.16,7.69,5.410450993781357
10156,10156,EA5158,1,0,9605290.0,0.3,14.4,28.06,5.7,6.56,1745.0,3.55,0.087,7.76,9.13,11.16,1.2236064065922085
10157,10157,PA1812-1304,0,1,10924700.0,0.33,41.9,26.21,9.97,8.31,1774.0,3.76,0.069,7.23,18.14,7.65,5.570845419763756
10158,10158,PA1812-1273,0,1,10165300.0,0.29,33.4,30.39,9.59,8.11,1770.0,5.73,0.074,4.5,11.58,7.29,4.571359744834027
10159,10159,PA1812-1306,0,1,9931110.0,0.36,12.4,27.44,9.25,9876540000.0,1705.0,2.81,0.087,4.05,11.73,7.46,5.542294588622854
10160,10160,EA5071,1,0,9987280.0,0.26,9.0,25.28,6.35,6.53,1702.0,3.47,0.083,7.76,11.45,11.43,0.8424840763865694
10161,10161,PA1901-2505,0,1,10405900.0,0.31,37.5,26.92,9.82,3.34,1715.0,5.61,0.084,4.47,10.16,7.18,4.596132847275362
10162,10162,PA1708-1368,0,0,11245100.0,0.35,42.0,28.65,10.26,8.57,1737.0,2.57,0.068,4.56,17.83,7.41,4.619491428193914
10163,10163,EA5155,1,0,9956080.0,0.27,11.3,28.69,5.57,6.39,1894.0,3.79,0.078,7.28,10.19,11.88,1.2585643854732862
10164,10164,PA1812-1302,0,1,10167600.0,0.32,19.9,29.59,10.25,9876540000.0,1745.0,3.9,0.081,4.54,10.11,7.16,5.3757513200701705
10165,10165,PA1812-5055,0,1,10047100.0,0.32,17.9,33.03,11.0,9876540000.0,1673.0,2.93,0.103,4.35,12.57,7.47,5.151742764122446
10166,10166,PA1812-1319,0,1,9774770.0,0.32,13.0,30.91,9.42,1.79,1697.0,3.44,0.102,4.69,9.35,7.65,5.000798132527851
10167,10167,EA5157,1,0,9860610.0,0.28,14.1,30.75,6.27,6.62,2089.0,3.72,0.075,6.76,9.87,11.37,0.8900081073261193
10168,10168,PA1812-1337,0,1,9942880.0,0.34,10.8,26.23,8.24,1.58,1697.0,3.34,0.093,4.58,11.26,7.01,3.701713476030749
10169,10169,PA1901-1069,0,1,10119800.0,0.34,13.2,25.17,8.27,1.01,1761.0,2.82,0.089,6.98,18.58,7.76,4.937015152625857
10170,10170,PA1901-1061,0,1,10270200.0,0.29,20.9,31.71,9.47,9876540000.0,1680.0,3.87,0.083,4.54,12.35,7.43,4.5073521897424955
10171,10171,EA5159,1,0,10025700.0,0.26,12.1,28.7,5.59,5.77,1838.0,4.65,0.088,8.08,9.46,10.87,1.2884858528831948
10172,10172,PA1812-1059,0,1,9852130.0,0.33,16.1,27.93,8.14,6.43,1779.0,5.54,0.08,4.43,18.63,7.45,5.4447040486693945
10173,10173,PA1901-5024,0,1,9792910.0,0.37,30.1,27.18,10.58,6.33,1720.0,3.46,0.078,7.38,16.41,8.0,5.3919153745988
10174,10174,EA5318,1,0,9648340.0,0.27,11.9,27.92,7.17,6.28,1875.0,4.51,0.084,7.91,9.36,11.0,1.353259257921391
10175,10175,PA1801-1458,0,0,9903670.0,0.34,24.2,28.39,10.22,8.26,1880.0,3.33,0.073,4.59,11.45,7.06,5.269456920455023
10176,10176,PA1812-5026,0,1,10551300.0,0.35,23.0,29.39,10.55,7.83,1762.0,4.03,0.073,6.76,17.18,7.72,5.1619270238091115
10177,10177,PA1812-1245,0,1,9957380.0,0.35,12.5,32.05,14.35,6.85,1674.0,3.36,0.077,4.78,18.28,8.12,5.190790732863131
10178,10178,EA5088,1,0,10068600.0,0.29,10.5,27.78,6.71,6.6,1938.0,3.67,0.073,6.99,10.58,11.48,1.1035688957604772
10179,10179,PA1707-1623,0,0,10359900.0,0.35,22.6,27.73,9.02,6.99,1769.0,2.32,0.073,3.97,17.69,7.81,5.23890853985232
10180,10180,PA1812-6006,0,1,10283200.0,0.34,33.6,28.03,9.36,7.32,1730.0,4.09,0.071,4.61,18.48,7.97,5.5026028970100755
10181,10181,EA5372,1,0,9912720.0,0.26,10.3,28.36,5.38,6.31,2073.0,3.68,0.083,7.48,9.76,12.17,1.2105650677370567
10182,10182,PA1704-98,0,0,10735000.0,0.33,17.1,27.48,6.99,5.79,1878.0,4.71,0.065,1.46,24.8,10.58,5.393763810528324
10183,10183,PA1901-2536,0,1,10662100.0,0.38,32.4,28.84,11.65,9876540000.0,1759.0,3.53,0.069,7.26,17.02,8.15,5.924214598576269
10184,10184,PA1901-5015,0,1,10210400.0,0.35,32.3,26.14,9.75,7.03,1728.0,2.95,0.075,0.82,12.48,7.91,5.45635121409932
10185,10185,EA5324,1,0,9987600.0,0.26,19.8,28.33,6.96,6.44,1952.0,4.0,0.086,7.16,9.83,11.38,1.1062950544095709
10186,10186,PA1801-1443,0,0,9714740.0,0.36,58.8,27.27,8.78,6.66,1796.0,2.89,0.078,4.71,18.32,8.08,5.606462512067635
10187,10187,PA1812-2019,0,1,10306600.0,0.34,12.5,29.12,7.14,9876540000.0,1673.0,4.68,0.07,3.02,18.91,8.25,5.296874496712103
10188,10188,EA5089,1,0,9696200.0,0.28,11.2,28.73,6.67,6.33,1981.0,3.82,0.085,6.91,10.52,11.37,1.9839285397215896
10189,10189,PA1812-5048,0,1,9972610.0,0.32,28.1,28.37,9.89,7.08,1784.0,5.27,0.072,4.59,17.94,7.63,5.336324899392876
10190,10190,PA1812-1196,0,1,9688830.0,0.38,48.2,32.35,9.13,6.39,1775.0,2.38,0.076,7.14,17.02,8.09,5.047125724159029
10191,10191,PA1901-2510,0,1,9897340.0,0.35,47.3,30.41,9.64,6.16,1639.0,3.93,0.073,7.19,20.32,8.08,5.37571491908
10192,10192,EA4973,1,0,9665850.0,0.34,11.2,26.86,6.35,6.43,1947.0,3.4,0.083,6.88,9.76,11.27,1.2191521467060649
10193,10193,PA1812-1243,0,1,9900770.0,0.31,26.5,32.39,9.23,7.45,1770.0,3.97,0.075,6.85,16.48,7.81,5.224199900234865
10194,10194,PA1812-1284,0,1,10568900.0,0.3,16.0,29.06,8.76,8.84,1694.0,5.79,0.071,4.64,17.74,7.43,5.627138760416478
10195,10195,EA4805,1,0,9856200.0,0.35,10.7,25.62,6.17,6.93,2091.0,3.64,0.082,6.61,9.35,10.85,0.25585171007796337
10196,10196,PA1812-1381,0,1,10556000.0,0.31,26.4,29.64,9.81,7.3,1691.0,3.58,0.076,6.95,15.31,7.91,4.3379481567153375
10197,10197,PA1901-5008,0,1,10126100.0,0.32,30.1,28.51,10.73,6.59,1713.0,3.77,0.079,4.64,19.11,7.79,4.822443976804897
10198,10198,PA1812-5091,0,1,10306000.0,0.37,17.1,28.1,9.93,7.16,1658.0,2.85,0.074,7.23,15.77,7.77,5.674769240970116
10199,10199,EA4890,1,0,9987630.0,0.27,12.6,28.64,5.56,6.34,1923.0,3.96,0.076,6.96,9.8,11.38,0.9771770819971288
10200,10200,PA1901-1024,0,1,10065500.0,0.36,17.9,31.3,9.14,7.17,1716.0,3.11,0.077,4.56,18.49,7.79,5.190273522111759
10201,10201,PA1812-1330,0,1,10144300.0,0.38,35.0,28.68,12.41,6.28,1746.0,3.04,0.074,7.12,19.19,7.8,5.15146035049008
10202,10202,EA5034,1,0,9635580.0,0.28,13.9,29.69,6.78,6.3,1871.0,3.88,0.078,6.79,10.3,11.79,0.9230927252839949
10203,10203,PA1812-1223,0,1,10303400.0,0.36,23.4,27.66,9.71,7.05,1715.0,3.33,0.071,7.0,17.81,7.82,5.1272402849317
10204,10204,PA1812-1291,0,1,11183100.0,0.28,30.3,30.77,10.86,7.38,1702.0,4.24,0.065,7.12,17.45,8.06,4.80041882318943
10205,10205,PA1901-1023,0,1,10224000.0,0.39,33.3,28.97,10.03,9876540000.0,1750.0,2.56,0.072,7.19,18.45,8.53,5.0860807223188695
10206,10206,EA5373,1,0,9755850.0,0.31,12.4,27.36,6.73,6.49,1938.0,3.78,0.075,7.05,10.73,10.85,1.3729898233021935
10207,10207,PA1801-1363,0,0,10200100.0,0.32,25.6,27.48,9.26,7.78,1971.0,3.31,0.074,4.6,17.04,7.75,4.9112144599436345
10208,10208,PA1812-5088,0,1,10112300.0,0.34,43.7,29.62,9.7,6.97,1703.0,3.33,0.072,7.09,18.19,7.91,5.548939828159012
10209,10209,EA4919,1,0,10132600.0,0.28,22.9,29.53,6.63,6.73,1931.0,4.13,0.071,7.19,10.94,11.87,1.2922604427161664
10210,10210,PA1812-1327,0,1,10433200.0,0.3,44.8,30.93,8.34,7.56,1703.0,3.5,0.076,4.9,12.29,7.68,5.532454420944295
10211,10211,PA1812-6010,0,1,10322800.0,0.32,45.1,30.26,12.82,8.67,1711.0,4.28,0.071,4.46,16.87,7.46,5.429485996977466
10212,10212,PA1812-1339,0,1,10506600.0,0.35,20.2,30.24,10.21,6.41,1687.0,3.07,0.068,7.04,19.3,8.35,4.907810179115934
10213,10213,EA5054,1,0,10082700.0,0.27,13.9,29.78,5.65,6.54,1769.0,3.56,0.073,7.36,10.4,11.83,1.0385778755259252
10214,10214,PA1812-5092,0,1,10557500.0,0.37,12.1,29.34,9.16,8.79,1705.0,2.82,0.07,4.38,11.38,7.28,4.292496686290293
10215,10215,PA1812-1341,0,1,10511300.0,0.33,49.1,26.55,11.27,6.65,1701.0,3.98,0.068,7.12,19.3,8.0,5.330786797989432
10216,10216,EA5423,1,0,9948280.0,0.29,13.6,27.49,8.06,6.46,1825.0,4.21,0.073,7.15,10.06,12.0,1.0691589757472204
10217,10217,PA1901-5021,0,1,10116900.0,0.31,44.1,29.42,10.54,7.45,1723.0,3.3,0.076,7.34,14.96,7.67,4.3168942237284025
10218,10218,PA1812-2024,0,1,10268300.0,0.31,16.7,32.56,12.48,7.2,1720.0,3.78,0.072,4.63,19.14,7.79,5.033292399453985
10219,10219,PA1812-6009,0,1,10361700.0,0.33,23.4,30.65,9.33,7.32,1726.0,3.75,0.074,7.18,16.76,7.85,5.586404330581749
10220,10220,EA5429,1,0,10104300.0,0.24,12.9,29.24,5.7,9876540000.0,1907.0,4.24,0.072,7.18,10.81,12.23,1.4658937126329101
10221,10221,PA1812-2506,0,1,10686000.0,0.33,16.0,28.59,9.39,1.2,1685.0,2.84,0.091,4.49,17.62,7.32,5.334576424742513
10222,10222,PA1812-1362,0,1,10121900.0,0.39,19.5,25.88,10.39,9876540000.0,1727.0,3.21,0.081,6.99,18.67,7.77,4.859991972488173
10223,10223,EA5432,1,0,9979270.0,0.27,11.5,27.99,7.27,5.9,1793.0,4.18,0.075,7.12,10.39,11.34,1.5488983084068255
10224,10224,PA1707-1260C,0,0,10850700.0,0.33,51.6,30.37,9.3,8.58,1940.0,4.7,0.069,4.49,16.63,7.73,5.431566522972796
10225,10225,PA1812-5078,0,1,9704180.0,0.37,35.9,32.15,9.95,9876540000.0,1799.0,2.88,0.1,7.0,5.1,7.53,4.531734609396938
10226,10226,PA1812-1220,0,1,10395000.0,0.33,18.8,28.04,11.33,9876540000.0,1731.0,3.71,0.096,4.65,9.66,7.14,4.665120714925347
10227,10227,EA5134,1,0,9945170.0,0.24,10.8,27.71,5.47,6.29,1821.0,4.73,0.074,6.87,10.64,11.89,0.793895568180652
10228,10228,PA1712-1708,0,0,10152400.0,0.35,12.0,27.6,9.88,8.34,1724.0,3.29,0.073,4.59,12.37,7.41,5.352035259714831
10229,10229,PA1901-1045,0,1,10821100.0,0.33,20.8,31.21,8.74,9876540000.0,1721.0,4.34,0.091,4.53,12.07,7.33,4.867662577634982
10230,10230,EA5078,1,0,10071000.0,0.3,8.8,26.82,6.11,6.62,1901.0,3.55,0.078,7.35,9.47,11.41,1.4288272399696764
10231,10231,PA1801-1626,0,0,10185100.0,0.4,39.3,26.99,9.29,6.44,1819.0,3.06,0.074,4.41,16.99,7.88,5.208725792942474
10232,10232,PA1812-5059,0,1,10641100.0,0.35,58.5,28.6,11.13,3.85,1754.0,3.7,0.084,7.01,19.12,7.87,5.720209056502981
10233,10233,PA1812-1346,0,1,10908000.0,0.31,25.1,28.79,10.1,9876540000.0,1739.0,4.3,0.078,4.62,12.45,7.41,5.558560507323566
10234,10234,EA5426,1,0,9948720.0,0.27,10.9,27.24,5.75,6.45,1795.0,4.04,0.081,6.98,9.87,11.3,1.1843845425232844
10235,10235,PA1812-5063,0,1,10367500.0,0.36,37.3,29.48,9.07,9876540000.0,1710.0,3.75,0.081,4.67,17.81,7.64,5.433168270973133
10236,10236,PA1812-5065,0,1,10298900.0,0.34,15.6,29.17,9.24,7.25,1724.0,3.52,0.086,5.29,17.61,8.04,5.657154037258501
10237,10237,EA5428,1,0,10011300.0,0.27,11.0,26.48,6.69,6.33,1893.0,3.62,0.083,7.48,9.37,11.36,7.491570741757751
10238,10238,PA1901-1039,0,1,9517350.0,0.33,50.2,34.31,9.35,7.21,1869.0,3.9,0.086,4.67,17.83,7.5,5.312739708021405
10239,10239,PA1901-1050,0,1,10014200.0,0.39,16.5,27.0,10.28,2.44,1721.0,2.76,0.079,7.2,20.05,8.05,5.261186324180113
10240,10240,PA1812-1208,0,1,10125600.0,0.32,18.7,29.86,8.47,8.52,1757.0,4.44,0.076,4.57,11.71,7.56,5.321916155211414
10241,10241,EA5430,1,0,10026900.0,0.27,9.7,28.01,5.75,6.46,1858.0,4.68,0.075,6.99,9.94,11.59,1.3389830927931061
10242,10242,PA1812-1132,0,1,10041300.0,0.37,30.2,30.92,12.19,6.77,1705.0,4.3,0.077,7.22,16.65,8.22,5.061935715717795
10243,10243,PA1812-1034,0,1,10512400.0,0.39,37.1,30.5,11.12,9876540000.0,1681.0,2.5,0.086,7.14,14.81,7.41,5.599482985668382
10244,10244,EA5434,1,0,9880360.0,0.27,12.5,30.33,5.52,6.52,1808.0,3.77,0.082,6.92,10.22,11.24,0.833985055509854
10245,10245,PA1812-1141,0,1,10036300.0,0.32,28.0,29.45,9.83,9876540000.0,1720.0,3.23,0.081,7.04,18.41,8.12,4.47793080560124
10246,10246,PA1803-1129,0,0,10140500.0,0.32,27.0,27.02,8.48,7.44,1842.0,3.11,0.074,4.49,18.32,7.69,4.708505289678416
10247,10247,PA1708-1077,0,0,10499100.0,0.3,42.1,32.32,8.32,8.18,1811.0,3.2,0.072,4.12,17.42,7.5,4.575379813653783
10248,10248,EA5546,1,0,9816480.0,0.26,12.6,29.17,7.04,6.49,1866.0,4.15,0.078,6.95,9.98,11.28,1.4946190221476612
10249,10249,PA1812-1251,0,1,10126800.0,0.34,16.0,28.74,9.14,2.08,1731.0,2.36,0.082,4.54,12.08,7.22,4.214967611580703
10250,10250,PA1812-1368,0,1,10327000.0,0.35,52.6,30.79,11.21,2.1,1712.0,2.75,0.095,6.33,16.09,7.99,5.036443724660845
10251,10251,PA1812-1179,0,1,10176900.0,0.36,38.6,31.01,9.73,9876540000.0,1733.0,2.59,0.098,4.54,18.13,7.75,5.472111953232347
10252,10252,EA5548,1,0,9647290.0,0.3,10.7,26.28,6.13,6.37,1794.0,4.64,0.082,7.23,10.36,11.32,1.0211899748878113
10253,10253,PA1812-1390,0,1,10430100.0,0.31,24.6,26.88,10.89,0.17,1739.0,3.21,0.083,4.49,12.61,7.45,5.512560553343545
10254,10254,PA1812-1361,0,1,10735700.0,0.35,18.1,30.71,9.88,7.33,1714.0,3.23,0.08,5.06,17.75,8.29,4.682519849842834
10255,10255,EA5552,1,0,10003800.0,0.25,10.9,27.06,6.11,6.27,1797.0,3.85,0.074,7.35,10.41,11.83,1.6231160036155157
10256,10256,PA1812-1393,0,1,10616800.0,0.27,31.6,30.82,11.58,7.6,1596.0,8.77,0.079,4.63,18.61,8.15,4.303908973400752
10257,10257,PA1803-1310,0,0,10453500.0,0.27,14.6,28.1,8.64,8.22,1771.0,6.07,0.072,4.45,16.78,7.5,5.287678497452846
10258,10258,PA1812-5042,0,1,10422800.0,0.35,9.2,27.6,9.43,5.53,1753.0,3.1,0.076,4.56,11.92,7.39,5.095625703344433
10259,10259,EA5554,1,0,9999890.0,0.32,25.4,32.78,5.79,6.5,2104.0,4.26,0.075,6.72,10.12,11.7,1.125684118584199
10260,10260,PA1812-1249,0,1,10009800.0,0.4,24.8,30.8,9.43,7.83,1760.0,3.95,0.077,4.5,17.12,7.62,5.872007609530718
10261,10261,PA1812-1389,0,1,10887800.0,0.37,19.1,33.14,9.08,6.91,1796.0,2.99,0.069,6.81,18.97,8.06,4.951221274854534
10262,10262,EA5555,1,0,10005100.0,0.3,29.2,32.07,6.66,6.52,1931.0,4.28,0.073,6.35,10.64,11.39,0.5143482148542371
10263,10263,PA1812-1382,0,1,10996500.0,0.31,22.8,30.73,10.09,9876540000.0,1722.0,2.97,0.073,7.09,19.1,8.1,5.292952694519187
10264,10264,PA1812-1376,0,1,10194500.0,0.37,55.6,33.38,11.86,7.69,1798.0,4.85,0.072,4.55,17.65,7.48,5.313822773935432
10265,10265,PA1812-6003,0,1,10416400.0,0.37,27.6,25.6,9.95,9876540000.0,1779.0,4.11,0.071,7.11,16.75,8.18,5.1992894843790065
10266,10266,EA5547,1,0,9939810.0,0.27,31.7,34.26,6.13,6.6,1986.0,3.13,0.081,6.98,9.38,11.5,1.0249986298619098
10267,10267,PA1705-399,0,0,11115300.0,0.3,21.4,27.63,9.36,5.88,1823.0,5.4,0.066,1.48,25.04,3.17,5.040726645742295
10268,10268,PA1812-1366,0,1,10007900.0,0.39,14.9,25.5,9.46,9876540000.0,1727.0,2.87,0.075,4.54,11.44,7.07,4.79584243256396
10269,10269,EA5551,1,0,10090600.0,0.29,18.3,28.4,7.45,6.44,1754.0,3.67,0.074,7.02,10.54,11.68,1.3033995881875653
10270,10270,PA1812-6008,0,1,10084700.0,0.35,11.4,25.2,10.22,7.54,1792.0,6.97,0.075,6.93,15.23,8.14,5.201015093310673
10271,10271,PA1705-72,0,0,10065400.0,0.31,35.4,28.71,8.26,4.86,1826.0,8.12,0.084,1.49,24.57,10.1,5.377613160627616
10272,10272,PA1812-1391,0,1,9797670.0,0.34,57.5,24.9,10.99,8.41,1693.0,2.44,0.083,4.64,11.7,7.38,5.248271087194465
10273,10273,EA1576,1,0,9980750.0,0.25,44.6,28.9,6.54,6.39,1870.0,3.75,0.082,7.09,9.82,11.54,1.414604240773177
10274,10274,PA1901-1022,0,1,10111700.0,0.36,25.5,24.7,10.4,9876540000.0,1730.0,3.57,0.088,6.98,19.31,8.28,5.262115707540511
10275,10275,PA1812-5101,0,1,9944130.0,0.36,11.7,24.4,10.02,8.15,1723.0,3.47,0.074,4.63,12.34,7.53,5.058126737369521
10276,10276,EA1371,1,0,9948880.0,0.26,11.8,27.36,5.78,6.5,1874.0,3.38,0.075,6.75,9.63,11.48,0.7984217538720086
10277,10277,PA1901-1026,0,1,10498700.0,0.34,20.7,24.0,8.19,7.42,1647.0,2.99,0.072,4.5,18.25,7.9,5.209963093499121
10278,10278,PA1812-1349,0,1,10542600.0,0.39,12.1,24.7,9.95,9876540000.0,1719.0,3.76,0.079,4.45,10.25,7.18,5.542610199775151
10279,10279,PA1812-6007,0,1,10918800.0,0.29,21.5,24.7,9.11,7.71,1706.0,4.98,0.071,7.01,15.47,7.9,4.404803829203136
10280,10280,EA0991,1,0,10000000.0,0.3,39.0,24.5,6.05,6.69,1917.0,4.52,0.076,7.52,9.34,10.96,0.9772534607532057
10281,10281,PA1812-5076,0,1,10352200.0,0.37,30.2,28.66,11.37,7.84,1714.0,3.52,0.076,4.69,17.31,7.54,5.779381618297792
10282,10282,PA1901-1073,0,1,10417300.0,0.39,26.4,28.47,8.33,7.77,1730.0,1.9,0.071,4.71,18.02,7.78,5.415641843885709
10283,10283,EA1739,1,0,10100000.0,0.26,11.4,24.2,6.68,6.52,1835.0,4.11,0.071,6.79,10.11,11.81,0.37187642511960706
10284,10284,PA1812-1215,0,1,10421900.0,0.34,25.0,30.71,10.2,8.52,1723.0,2.4,0.072,4.56,16.86,7.59,4.823010212370753
10285,10285,PA1802-1215,0,0,10562700.0,0.3,35.2,29.65,9.87,7.71,1792.0,4.08,0.075,3.96,18.02,7.58,4.502794840840311
10286,10286,PA1812-6001,0,1,11042700.0,0.3,20.3,30.39,9.02,7.96,1704.0,3.34,0.068,4.78,18.36,7.71,5.4881348797839555
10287,10287,EA3091,1,0,9940000.0,0.31,10.8,24.5,5.74,6.48,1949.0,4.51,0.072,6.72,10.74,11.53,1.2827572152040658
10288,10288,PA1812-6004,0,1,10018100.0,0.35,41.4,30.96,9.6,27.15,1713.0,2.21,0.075,4.79,16.89,7.5,6.425402296729303
10289,10289,PA1812-5079,0,1,10548700.0,0.29,25.5,29.64,9.08,7.71,1662.0,2.97,0.069,4.53,18.58,7.96,5.125176196280918
10290,10290,EA2894,1,0,9810000.0,0.29,16.4,24.1,6.22,6.49,1834.0,3.76,0.074,6.79,10.35,11.45,1.0550462121011868
10291,10291,PA1710-1375,0,0,10100000.0,0.29,23.3,28.29,8.15,7.07,1659.0,5.02,0.075,4.67,18.5,7.89,4.876909622149671
10292,10292,PA1812-1177,0,1,10571200.0,0.34,44.1,29.63,10.93,6.96,1716.0,2.81,0.068,7.42,18.33,8.01,4.896950975641257
10293,10293,PA1812-5069,0,1,10617600.0,0.3,19.5,30.61,8.69,8.04,1734.0,3.62,0.072,7.16,15.3,7.7,4.6517082433119405
10294,10294,EA3219,1,0,9900000.0,0.29,15.2,25.0,6.57,6.33,1801.0,3.47,0.073,6.88,10.76,11.64,0.8798037848057779
10295,10295,PA1812-1325,0,1,10646000.0,0.31,40.3,30.86,7.99,7.6,1741.0,3.01,0.07,6.31,16.77,7.52,5.310150497408977
10296,10296,PA1812-5049,0,1,10211400.0,0.37,47.6,30.74,8.73,7.91,1713.0,2.8,0.075,7.24,18.22,7.68,3.668422079414807
10297,10297,EA4876,1,0,10139100.0,0.27,10.3,24.7,7.09,6.56,1870.0,4.14,0.071,7.36,10.9,11.57,1.0876271068667287
10298,10298,PA1901-1076,0,1,10911400.0,0.39,22.2,30.67,8.78,6.48,1702.0,2.39,0.077,6.97,20.01,8.15,5.300645177302005
10299,10299,PA1812-5080,0,1,10697700.0,0.27,18.4,32.13,11.62,9.27,1698.0,2.96,0.074,4.45,10.43,6.98,5.7530780625722775
10300,10300,PA1812-2021,0,1,9846140.0,0.36,27.5,30.32,11.71,7.54,1729.0,2.26,0.079,7.09,15.72,7.91,5.196918952606419
10301,10301,EA4914,1,0,9542040.0,0.32,10.3,24.7,6.82,5.97,1678.0,3.71,0.084,7.32,10.72,11.59,1.4771403027629413
10302,10302,PA1812-1359,0,1,10021100.0,0.31,20.4,29.49,9.97,7.97,1724.0,3.7,0.08,4.5,11.09,7.31,5.0510585899060265
